trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
138,False,"{'a': 0.49999999999999967, 'e': 0.0010594556929076138}",20,0,26.634180201447748,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
139,False,"{'a': 0.49999999999999967, 'e': 0.0010077854290485148}",35,17,28.224494089276128,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.49999999999999967, 'e': 0.0009586351536940241}",20,15,9.96345162531227,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.49999999999999967, 'e': 0.0009118819655545203}",20,11,-25.12929426721581,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
142,False,"{'a': 0.49999999999999967, 'e': 0.0008674089573070064}",25,15,20.25482217143305,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.49999999999999967, 'e': 0.0008251049232659075}",20,12,13.892570236697344,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.49999999999999967, 'e': 0.0007848640813109351}",25,8,32.571461415447054,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.49999999999999967, 'e': 0.0007465858083766826}",30,9,38.140927749436514,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.49999999999999967, 'e': 0.0007101743888425522}",30,20,19.071144649543577,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.49999999999999967, 'e': 0.0006755387751938473}",20,8,19.159296283171802,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.49999999999999967, 'e': 0.0006425923603555602}",20,0,27.312256099237025,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
149,False,"{'a': 0.49999999999999967, 'e': 0.000611252761129575}",20,0,27.75391804093457,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.49999999999999967, 'e': 0.0005814416121937582}",35,15,28.24191142640329,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.49999999999999967, 'e': 0.0005530843701478366}",35,21,26.112901914848102,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.49999999999999967, 'e': 0.0005261101271160666}",30,10,30.726196322970644,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.49999999999999967, 'e': 0.0005004514334406135}",20,14,7.133094518116485,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.49999999999999967, 'e': 0.00047604412902227226}",20,9,19.161100319072993,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.49999999999999967, 'e': 0.0004528271828867998}",20,14,10.804644336960976,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.49999999999999967, 'e': 0.0004307425405756898}",30,4,45.32478462985731,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.49999999999999967, 'e': 0.000409734978979789}",20,2,34.36314368438916,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.49999999999999967, 'e': 0.00038975196825275686}",25,17,16.60933306846227,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.49999999999999967, 'e': 0.00037074354045909055}",20,0,35.33980469377291,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.49999999999999967, 'e': 0.0003526621646282579}",20,3,23.593924235786623,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.49999999999999967, 'e': 0.00033546262790251364}",25,13,25.396417250412643,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.49999999999999967, 'e': 0.00031910192248120554}",20,11,17.845289746815155,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.49999999999999967, 'e': 0.0003035391380788684}",25,10,30.521404546644074,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
